ORTHO;PERIODE;NBLET;CP_U;GRAM
long;3;4;59.31;NC
loup;3;4;516.75;NC
lourd;3;5;8.27;ADJ
nid;3;3;222.91;NC
nord;3;4;39.13;NC
porc;3;4;3.90;NC
quand;3;5;1087.42;CON
rang;3;4;8.46;NC
renard;3;6;405.76;NC
sirop;3;5;70.37;NC
tard;3;4;228.79;ADV
tronc;3;5;21.72;NC
trop;3;4;728.61;ADV
vend;3;4;62.03;VER
bille;3;5;55.67;NC
brillant;3;8;16.37;ADJ
brille;3;6;82.63;VER
briller;3;7;19.24;VER
chenille;3;8;10.71;NC
cheville;3;8;10.75;NC
coquille;3;8;54.03;NC
famille;3;7;236.58;NC
fille;3;5;400.03;NC
gorille;3;7;13.23;NC
grille;3;6;68.32;NC
quille;3;6;32.99;NC
billet;3;6;46.41;NC
bleu;4;4;230.29;ADJ
deux;4;4;1241.70;ADJ
eux;4;3;211.09;PRO
feu;4;3;477.66;NC
feutre;4;6;1.21;NC
fleuve;4;6;32.93;NC
jeu;4;3;288.65;NC
jeudi;4;5;119.20;NC
jeune;4;5;123.81;ADJ
neuve;4;5;5.05;ADJ
neveu;4;5;0.43;NC
oeuf;4;4;#N/A;#N/A
peu;4;3;828.41;ADV
soeur;4;5;#N/A;#N/A
voeu;4;4;#N/A;#N/A
chaton;4;6;37.71;NC
envoyer;4;7;32.77;VER
foyer;4;5;#N/A;#N/A
loyer;4;5;6.84;NC
noyau;4;5;75.67;NC
noyer;4;5;19.30;VER
royaume;4;7;34.13;NC
voyage;4;6;193.95;NC
voyager;4;7;10.44;VER
voyant;4;6;63.36;VER
voyelle;4;7;13.41;NC
ail;4;3;8.26;NC
bétail;4;6;0.62;NC
corail;4;6;#N/A;#N/A
détail;4;6;22.31;NC
émail;4;5;0.30;NC
éveil;4;5;#N/A;#N/A
fenouil;4;7;18.27;NC
orteil;4;6;18.41;NC
pareil;4;6;10.75;ADJ
portail;4;7;33.75;NC
réveil;4;6;103.00;NC
soleil;4;6;594.00;NC
travail;4;7;214.01;NC
abeille;4;7;58.58;NC
bataille;4;8;12.33;NC
bouillir;4;8;0.62;VER
bouillon;4;8;13.48;NC
caillou;4;7;35.13;NC
cailloux;4;8;28.69;NC
écaille;4;7;3.89;NC
maillot;4;7;80.87;NC
médaille;4;8;16.20;NC
mouiller;4;8;22.95;VER
muraille;4;8;5.43;NC
paille;4;6;82.51;NC
taille;4;6;50.31;NC
tailler;4;7;#N/A;#N/A
volaille;4;8;0.43;NC
alphabet;4;8;12.53;NC
dauphin;4;7;37.80;NC
éléphant;4;8;262.85;NC
phare;4;5;73.02;NC
phoque;4;6;88.47;NC
photo;4;5;212.61;NC
phrase;4;6;123.21;NC
baleine;4;7;72.93;NC
freine;4;6;5.57;VER
