ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
avion;2;5;235.19;NC;frequents;court;VCVVC;VCYV;0
ballon;2;6;216.64;NC;frequents;long;CVCCVC;CVCV;0
bon;2;3;661.22;ADJ;frequents;court;CVC;CV;0
bonbon;2;6;37.78;NC;rares;long;CVCCVC;CVCV;0
bonjour;2;7;388.39;NC;frequents;long;CVCCVVC;CVCVC;0
bouton;2;6;52.85;NC;frequents;long;CVVCVC;CVCV;0
camion;2;6;161.05;NC;frequents;long;CVCVVC;CVCYV;0
cochon;2;6;81.74;NC;frequents;long;CVCCVC;CVCV;0
compote;2;7;35.02;NC;rares;long;CVCCVCV;CVCVC;0
conte;2;5;55.1;NC;frequents;court;CVCCV;CVC;0
coton;2;5;39.54;NC;rares;court;CVCVC;CVCV;0
dragon;2;6;31.32;NC;rares;long;CCVCVC;CCVCV;0
fondu;2;5;10.87;ADJ;rares;court;CVCCV;CVCV;0
lion;2;4;202.12;NC;frequents;court;CVVC;CYV;0
melon;2;5;28.7;NC;rares;court;CVCVC;CVCV;0
mon;2;3;1824.41;DET;frequents;court;CVC;CV;0
monstre;2;7;27.1;NC;rares;long;CVCCCCV;CVCCC;0
montre;2;6;99.87;VER;frequents;long;CVCCCV;CVCC;0
mouton;2;6;172.46;NC;frequents;long;CVVCVC;CVCV;0
nombre;2;6;52.28;NC;frequents;long;CVCCCV;CVCC;0
ombre;2;5;86.4;NC;frequents;court;VCCCV;VCC;0
on;2;2;2897.81;PRO;frequents;court;VC;V;0
oncle;2;5;105.66;NC;frequents;court;VCCCV;VCC;0
ongle;2;5;28.6;NC;rares;court;VCCCV;VCC;0
onze;2;4;93.05;ADJ;frequents;court;VCCV;VC;0
pompe;2;5;63.64;NC;frequents;court;CVCCV;CVC;0
pont;2;4;189.23;NC;frequents;court;CVCC;CV;0
salon;2;5;74.42;NC;frequents;court;CVCVC;CVCV;0
son;2;3;5141.88;DET;frequents;court;CVC;CV;0
ton;2;3;441.74;DET;frequents;court;CVC;CV;0
angle;2;5;3.62;NC;rares;court;VCCCV;VCC;0
avant;2;5;329.03;PRE;frequents;court;VCVCC;VCV;0
banque;2;6;3.91;NC;rares;long;CVCCVV;CVC;0
blanche;2;7;122.53;ADJ;frequents;long;CCVCCCV;CCVCV;0
cantine;2;7;52.68;NC;frequents;long;CVCCVCV;CVCVC;0
chambre;2;7;372.45;NC;frequents;long;CCVCCCV;CVCC;0
chanson;2;7;134.53;NC;frequents;long;CCVCCVC;CVCV;0
danse;2;5;67.18;NC;frequents;court;CVCCV;CVC;0
devant;2;6;275;PRE;frequents;long;CVCVCC;CVCV;0
écran;2;5;36.38;NC;rares;court;VCCVC;VCCV;0
gant;2;4;36.77;NC;rares;court;CVCC;CV;0
jambe;2;5;81.91;NC;frequents;court;CVCCV;CVC;0
jambon;2;6;107.11;NC;frequents;long;CVCCVC;CVCV;0
lampe;2;5;138.13;NC;frequents;court;CVCCV;CVC;0
maman;2;5;2333.21;NC;frequents;court;CVCVC;CVCV;0
manche;2;6;69.13;NC;frequents;long;CVCCCV;CVC;0
panda;2;5;0.77;NC;rares;court;CVCCV;CVCV;0
pendant;2;7;462.03;PRE;frequents;long;CVCCVCC;CVCV;0
plan;2;4;27.44;NC;rares;court;CCVC;CCV;0
ruban;2;5;39.56;NC;rares;court;CVCVC;CVCV;0
tante;2;5;78.55;NC;frequents;court;CVCCV;CVC;0
viande;2;6;40.47;NC;frequents;long;CVVCCV;CYVC;0
volcan;2;6;11.9;NC;rares;long;CVCCVC;CVCCV;0
chemin;2;6;261.03;_NC;frequents;long;CCVCVC;CVCV;0
dinde;2;5;15.56;NC;rares;court;CVCCV;CVC;0
fin;2;3;202.26;NC;frequents;court;CVC;CV;0
impoli;2;6;7.21;ADJ;rares;long;VCCVCV;VCVCV;0
invité;2;6;45.78;VER;frequents;long;VCCVCV;VCVCV;0
jardin;2;6;1082.71;NC;frequents;long;CVCCVC;CVCCV;0
lapin;2;5;386.8;NC;frequents;court;CVCVC;CVCV;0
lin;2;3;0.62;NC;rares;court;CVC;CV;0
malin;2;5;23.52;ADJ;rares;court;CVCVC;CVCV;0
matin;2;5;671.84;NC;frequents;court;CVCVC;CVCV;0
pin;2;3;32.01;NC;rares;court;CVC;CV;0
sapin;2;5;218.4;NC;frequents;court;CVCVC;CVCV;0
timbre;2;6;36.15;NC;rares;long;CVCCCV;CVCC;0
vin;2;3;35.48;NC;rares;court;CVC;CV;0
avec;2;4;5207.47;PRE;frequents;court;VCVC;VCVC;0
